ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
IFFBF28CA  13-05     3825(4175)  55(53)      79.1   69.4
JFFBF67CA  14-05     3468(3648)  48(43)      84.7   71.8
KFFBF08CA  15-11     3900(4280)  58(47)      90.9   67.3
PFFBF68CA  19-12     2188(2188)  38(38)      57.9   57.9
IFFBF08CA  13-01     2638(2953)  50(41)      72.3   52.8
JFFBF38CA  14-06     3978(4374)  54(45)      96.3   73.9
KFFBF18CA  15-11     3945(4175)  59(53)      79.1   67.3
IFFBF18CA  13-03     2479(2729)  48(38)      71.6   52.1
PFFBF98CA  20-03     2588(2788)  46(41)      68.0   55.8
IFFBF28CA  13-01     2590(2880)  50(40)      71.5   52.1
PFFBF86EA  20-06     2576(2576)  39(39)      66.0   66.0
IFFBF38CA  13-01     2678(3078)  48(41)      75.5   56.0
IFFBF67CA  13-05     3130(3320)  50(49)      67.3   62.1
IFFBF57CA  13-01     2852(3292)  48(42)      79.0   59.6
KFFBF77CA  15-03     3425(3839)  55(45)      86.2   62.2
MFFBF18CA  17-04     3500(3860)  47(39)      99.6   73.8
LFFBF28DA  16-04     3625(4075)  52(44)      92.9   69.1
NFFBF97CA  18-09     2853(3063)  36(34)      90.6   79.3
LFFBF97CA  16-03     4120(4580)  62(51)      90.5   66.8
NFFBF58CA  18-01     2451(2671)  47(41)      65.0   52.7
MFFBF78CA  17-06     4456(4916)  56(46)      106.0  79.9
IFFBF18CA  13-01     2507(2692)  48(44)      61.8   52.0
IFFBF18CA  13-03     3222(3682)  47(42)      87.6   68.1
OFFBF09CA  19-04     2360(2590)  42(37)      69.5   55.9
OFFBF66CA  19-04     2621(2841)  46(41)      69.0   56.7
LFFBF58CA  16-02     3708(4154)  55(46)      90.9   67.3
IFFBF38CA  13-01     2481(2901)  48(41)      71.2   51.8
IFFBF67CA  13-02     2510(2775)  48(39)      71.4   51.9
LFFBF38CA  16-07     3980(4200)  50(46)      90.6   79.3
IFFBF67CA  13-01     3000(3430)  51(44)      78.2   58.7
IFFBF08CA  13-08     3460(3460)  52(52)      66.8   66.8
KFFBF77CA  14-02     4089(4299)  51(49)      88.5   79.7
OFFBF48CA  19-04     3300(3720)  46(39)      96.3   71.7
PFFBF58CA  19-12     2675(3120)  48(39)      80.8   56.3
MFFBF18EA  17-08     2620(2620)  36(36)      73.8   73.8
NFFBF58CA  18-03     2296(2526)  40(37)      69.2   57.1
LFFBF38CA  16-02     4202(4630)  62(51)      91.1   67.4
IFFBF28CA  13-03     2600(2970)  50(41)      71.9   52.4
KFFBF68CA  15-05     3367(3803)  54(44)      86.0   62.0
PFFBF56CA  20-04     2488(2888)  45(36)      80.1   55.6
OFFBF88CA  19-01     2850(3080)  49(44)      70.2   57.9
IFFBF77CA  13-01     2656(2996)  51(42)      71.4   52.0
KFFBF87CA  14-06     4243(4463)  59(55)      81.3   72.5
OFFBF28CA  18-12     2573(2773)  45(40)      69.7   57.5
JFFBF87CA  14-11     3469(3672)  57(50)      72.9   61.0
OFFBF28CA  19-10     2510(2710)  45(40)      67.9   55.6
MFFBF58CA  17-06     2060(2060)  36(36)      57.1   57.1
PFFBF58CA  19-12     2911(3371)  41(36)      94.4   70.2
MFFBF78CA  17-06     2702(2892)  45(41)      71.0   60.0
PFFBF56DA  20-07     2551(2776)  46(41)      67.9   55.6
JFFBF18CA  14-11     4255(4490)  59(52)      87.1   72.6
NFFBF09CA  18-04     3532(3972)  52(44)      91.1   67.4
JFFBF38CA  14-02     4338(4780)  59(50)      96.3   73.9
NFFBF78CA  18-01     3680(3680)  46(46)      79.5   79.5
LFFBF58CA  16-01     4105(4325)  61(55)      78.7   66.8
OFFBF56CA  19-01     2333(2553)  41(37)      69.2   56.9
IFFBF78CA  13-05     3600(3960)  51(49)      80.4   70.0
OFFBF48CA  19-03     3340(3755)  49(41)      91.2   67.6
OFFBF97CA  19-06     3330(3570)  46(43)      84.0   71.7
IFFBF77CA  13-02     2866(3126)  48(39)      79.2   59.7
IFFBF87CA  13-11     3180(3180)  41(41)      78.0   78.0
OFFBF88CA  19-05     2435(2635)  43(38)      68.7   56.7
JFFBF87CA  14-10     4200(4600)  53(45)      101.9  79.3
KFFBF18CA  15-11     4024(4250)  60(54)      78.7   66.8
NFFBF78CA  18-05     3470(3930)  44(42)      94.0   78.0
PFFBF86DA  20-08     3465(4200)  52(38)      109.2  66.4
IFFBF78CA  13-06     2270(2435)  43(39)      62.6   52.8
KFFBF68CA  15-11     2712(2832)  45(44)      64.3   60.5
IFFBF78CA  13-05     3883(4053)  56(55)      73.9   69.4
JFFBF58CA  14-11     3612(4050)  58(47)      86.1   62.1
JFFBF48CA  14-10     2900(3300)  53(43)      77.2   54.6
IFFBF68CA  13-01     2590(2880)  50(41)      71.1   51.6
IFFBF97CA  13-01     2778(3198)  48(41)      77.6   58.2
OFFBF68CA  19-04     2880(3100)  47(42)      73.2   61.2
IFFBF87CA  13-02     2475(2825)  47(39)      72.1   52.7
MFFBF58CA  17-03     3595(4015)  45(39)      101.9  79.3
