ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
JFFBF68CA  13-08     1000(1225)  47(40)      30.3  21.4
OFFBF88CA  19-01     1225(1425)  47(34)      42.0  26.2
JFFBF58CA  13-07     985(985)    47(47)      20.9  20.9
PFFBF17DA  20-04     1200(1200)  39(39)      31.0  31.0
PFFBF96DA  20-06     1316(1536)  42(38)      40.8  31.0
LFFBF87CA  15-12     1185(1185)  43(43)      27.4  27.4
OFFBF38CA  19-11     1270(1500)  45(36)      41.6  28.1
HFFBF67DA  12-09     920(920)    44(44)      20.9  20.9
KFFBF48CA  15-05     1098(1098)  52(52)      21.2  21.2
NFFBF48CA  18-10     1458(1663)  47(41)      40.3  31.2
PFFBF09CA  19-02     946(1136)   41(35)      32.5  22.8
HFFBF88CA  12-08     1365(1485)  38(32)      46.0  36.2
OFFBF76CA  19-04     1805(2015)  46(37)      55.2  39.4
IFFBF87CA  13-10     1050(1050)  44(44)      24.1  24.1
IFFBF18CA  13-04     1366(1521)  43(39)      39.3  32.0
KFFBF97CA  15-10     1300(1300)  42(42)      31.0  31.0
KFFBF58CA  15-05     1541(1746)  48(41)      42.5  31.9
PFFBF66DA  20-06     1780(2020)  46(39)      52.3  38.7
HFFBF87CA  12-10     1475(1600)  43(41)      39.4  34.0
JFFBF38CA  13-03     1183(1313)  42(36)      36.1  28.5
LFFBF48CA  16-10     1270(1465)  40(33)      44.4  31.9
OFFBF88CA  19-11     1278(1478)  45(38)      38.8  28.1
LFFBF28CA  15-11     1295(1500)  41(35)      42.5  31.9
PFFBF56CA  19-05     950(1140)   42(36)      31.8  22.8
HFFBF98CA  12-08     1300(1300)  36(36)      36.2  36.2
JFFBF66CA  14-07     1205(1205)  42(42)      28.5  28.5
IFFBF28CA  13-04     1324(1489)  43(39)      38.0  30.7
IFFBF58CA  13-05     994(994)    48(48)      20.9  20.9
PFFBF66CA  19-09     960(1150)   41(35)      33.0  23.3
OFFBF66CA  19-11     1258(1478)  45(36)      41.6  28.1
PFFBF37DA  20-05     1390(1560)  45(38)      40.8  31.0
IFFBF97CA  13-10     1660(1660)  45(45)      37.1  37.1
IFFBF56CA  13-05     1425(1425)  42(42)      33.6  33.6
KFFBF97DA  15-06     1270(1270)  37(37)      34.3  34.3
PFFBF68EA  20-06     1390(1610)  41(35)      45.5  34.0
MFFBF18DA  17-04     1170(1350)  40(34)      39.3  29.2
PFFBF48DA  20-04     983(1213)   42(37)      33.2  23.4
LFFBF08CA  16-06     1043(1268)  41(36)      35.5  25.5
KFFBF08CA  15-07     1775(1990)  46(40)      49.7  39.0
