ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
IFFBF87EA  13-11     1200(1200)  37(37)      32.1  32.1
KFFBF77CA  15-06     2455(2675)  50(45)      58.9  49.3
PFFBF58CA  20-04     1310(1310)  36(36)      36.0  36.0
MFFBF18CA  17-02     1650(1650)  36(36)      46.3  46.3
IFFBF08CA  13-05     1540(1540)  45(45)      34.6  34.6
JFFBF87CA  14-07     2252(2467)  52(43)      57.7  43.3
IFFBF18CA  13-05     1324(1489)  41(38)      39.3  32.0
MFFBF48CA  17-02     1500(1720)  42(34)      50.4  35.9
PFFBF88CA  19-05     1300(1500)  42(37)      40.8  31.0
HFFBF48CA  12-08     1412(1412)  37(37)      38.1  38.1
JFFBF97CA  14-01     2152(2367)  44(40)      59.1  48.9
KFFBF28CA  15-02     1770(1970)  41(36)      55.1  43.6
MFFBF68CA  17-05     1927(1927)  40(40)      48.2  48.2
KFFBF68CA  15-05     1557(1762)  49(41)      42.5  31.9
HFFBF47CA  12-10     1556(1736)  38(35)      50.1  41.3
IFFBF38CA  13-04     1378(1558)  41(37)      41.8  33.6
IFFBF07CA  12-10     1410(1600)  40(34)      46.9  35.0
MFFBF47CA  16-06     2100(2100)  49(49)      42.5  42.5
MFFBF87CA  17-04     1303(1528)  41(34)      45.0  31.9
LFFBF47CA  16-09     1848(1848)  38(38)      49.1  49.1
HFFBF27CA  12-10     1552(1742)  38(35)      50.1  41.3
JFFBF47CA  13-05     1478(1478)  39(39)      37.9  37.9
JFFBF57CA  13-10     1242(1242)  41(41)      30.3  30.3
NFFBF77DA  17-11     1830(2030)  45(41)      49.2  40.9
OFFBF18CA  19-02     1968(2173)  42(39)      55.7  46.6
HFFBF37CA  12-09     1390(1565)  42(38)      40.8  33.3
HFFBF37DA  12-09     1390(1570)  41(34)      45.7  34.0
PFFBF88DA  20-05     1776(1986)  46(38)      52.3  38.7
IFFBF28CA  13-08     2322(2322)  48(48)      48.6  48.6
