ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
MFFBF78CA  17-07     3770(4450)  38(36)      124.9  98.9 
KFFBF87CA  15-08     2850(2850)  32(32)      87.7   87.7 
MFFBF78CA  17-06     4658(5228)  45(37)      141.7  104.1
KFFBF87CA  14-11     5123(5633)  49(40)      141.7  104.1
MFFBF38CA  17-02     2950(2950)  33(33)      88.9   88.9 
LFFBF38CA  16-03     3360(3360)  39(39)      86.4   86.4 
LFFBF48CA  15-12     3292(3292)  38(38)      86.5   86.5 
IFFBF28CA  13-10     2663(2663)  32(32)      82.9   82.9 
MFFBF66CA  17-07     4668(5298)  45(37)      141.7  104.1
MFFBF76CA  17-08     4888(5398)  47(38)      141.7  104.1
NFFBF78CA  18-04     3600(4035)  42(39)      104.4  85.3 
KFFBF28CA  14-12     4856(5366)  47(38)      141.7  104.1
IFFBF08CA  13-01     3200(3200)  36(36)      89.9   89.9 
IFFBF77CA  13-10     2838(2838)  34(34)      82.9   82.9 
NFFBF48CA  18-10     3680(4120)  44(38)      107.9  82.8 
OFFBF56CA  19-05     4140(4940)  32(29)      169.5  130.9
IFFBF18CA  13-01     3000(3000)  36(36)      82.3   82.3 
IFFBF38CA  13-01     2980(2980)  33(33)      89.9   89.9 
NFFBF96CA  18-08     2650(2650)  32(32)      84.0   84.0 
PFFBF66CA  20-03     3240(3240)  37(37)      87.4   87.4 
IFFBF68CA  13-10     2910(2910)  35(35)      82.2   82.2 
LFFBF58CA  16-05     3060(3270)  37(36)      92.0   83.1 
KFFBF68CA  15-06     4235(4655)  43(40)      116.1  98.3 
IFFBF87CA  13-10     3250(3250)  36(36)      90.1   90.1 
KFFBF58CA  15-03     4441(4881)  45(42)      116.8  99.0 
OFFBF98CA  19-05     3280(3280)  32(32)      103.5  103.5
LFFBF58CA  16-03     2945(3385)  35(34)      99.7   83.2 
IFFBF38CA  12-12     3215(3215)  39(39)      83.3   83.3 
JFFBF09CA  14-08     3880(4450)  46(37)      121.2  83.6 
PFFBF56CA  20-01     3750(4500)  45(37)      120.3  82.7 
NFFBF56CA  17-12     3557(4197)  42(36)      115.1  85.3 
HFFBF87CA  12-10     3338(3338)  35(35)      95.4   95.4 
MFFBF38CA  17-10     3180(3180)  35(35)      89.7   89.7 
IFFBF97CA  13-10     3285(3285)  36(36)      90.1   90.1 
NFFBF38CA  18-08     2560(2560)  32(32)      80.5   80.5 
OFFBF66CA  19-04     3970(4765)  47(41)      114.9  85.1 
KFFBF48CA  14-12     4738(5058)  46(41)      122.0  102.1
KFFBF68CA  15-01     3911(4421)  47(37)      120.4  82.8 
OFFBF66CA  19-04     4009(4499)  47(43)      105.1  85.3 
JFFBF98CA  14-11     2830(2830)  33(33)      85.3   85.3 
LFFBF48CA  16-10     3070(3070)  32(32)      96.4   96.4 
LFFBF96CA  16-06     3615(4125)  43(34)      121.2  83.6 
JFFBF98CA  14-07     4090(4690)  49(39)      120.3  82.7 
OFFBF58CA  19-08     3020(3020)  33(33)      92.2   92.2 
LFFBF38CA  16-09     3340(3800)  40(37)      101.4  83.6 
KFFBF68CA  15-01     4510(4980)  45(43)      116.4  99.2 
OFFBF66CA  19-04     4035(4735)  48(39)      121.2  83.6 
PFFBF96CA  20-05     2980(2980)  36(36)      82.9   82.9 
PFFBF66CA  20-01     4570(5260)  44(37)      141.7  104.1
OFFBF37CA  19-06     3728(4168)  45(41)      102.4  82.6 
NFFBF38CA  18-03     2770(2770)  33(33)      84.0   84.0 
OFFBF58CA  18-12     3422(3857)  40(37)      104.3  85.1 
MFFBF88CA  17-06     4998(5658)  48(40)      141.7  104.1
PFFBF98CA  20-03     3928(4468)  47(37)      120.3  82.7 
OFFBF09CA  19-04     3700(4155)  43(40)      105.0  85.1 
NFFBF09CA  18-04     3735(4170)  44(40)      104.4  85.3 
MFFBF09CA  17-01     3480(3480)  43(43)      80.9   80.9 
HFFBF67CA  12-10     3580(3580)  35(35)      103.2  103.2
HFFBF77CA  12-10     3139(3139)  33(33)      94.3   94.3 
OFFBF58CA  19-10     3000(3000)  34(34)      87.2   87.2 
OFFBF88CA  19-02     4120(4750)  39(34)      140.9  105.7
LFFBF48CA  16-01     2970(3200)  36(35)      92.5   83.6 
