ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
LFFBF18CA  16-10     2220(2220)  37(37)      60.6   60.6
OFFBF09CA  19-06     1910(1910)  37(37)      51.5   51.5
JFFBF18CA  14-11     2325(2325)  39(39)      59.0   59.0
KFFBF08CA  14-11     2595(2800)  48(44)      64.1   54.2
IFFBF68CA  13-07     2225(2225)  44(44)      50.3   50.3
HFFBF97CA  12-10     2293(2458)  36(32)      75.8   64.0
PFFBF56CA  20-04     2385(2680)  43(35)      76.2   55.6
IFFBF97CA  13-07     2143(2143)  43(43)      50.4   50.4
NFFBF48CA  18-07     2650(3070)  42(39)      77.8   62.7
JFFBF77CA  14-02     2959(3319)  44(36)      92.2   67.2
IFFBF37CA  13-09     2768(2988)  40(35)      84.8   68.7
JFFBF67CA  14-12     1850(2010)  36(32)      63.6   51.9
IFFBF47CA  13-03     2800(2800)  45(45)      62.9   62.9
PFFBF18CA  20-02     2580(2580)  36(36)      70.7   70.7
MFFBF97CA  17-02     2820(2820)  39(39)      72.7   72.7
PFFBF98DA  20-06     2515(2700)  42(38)      71.6   59.3
MFFBF67CA  17-08     2715(3120)  41(38)      81.3   66.2
KFFBF97CA  14-12     2401(2581)  44(39)      66.1   54.2
NFFBF28CA  18-02     3361(3766)  44(39)      95.7   76.6
IFFBF28CA  13-03     2184(2518)  42(36)      69.2   52.4
IFFBF38CA  13-08     2654(2884)  44(40)      71.6   59.8
IFFBF77CA  13-01     2220(2380)  42(35)      68.8   53.4
IFFBF38CA  13-05     2463(2600)  46(40)      64.7   53.8
IFFBF97CA  12-12     1934(1934)  33(33)      58.4   58.4
LFFBF08DA  16-09     2398(2398)  35(35)      67.6   67.6
IFFBF87CA  12-12     2300(2480)  42(39)      63.7   55.0
LFFBF18CA  16-08     2568(2568)  38(38)      67.5   67.5
MFFBF09EA  17-03     2400(2400)  36(36)      67.5   67.5
JFFBF08CA  13-05     2300(2300)  37(37)      61.6   61.6
PFFBF86DA  20-07     2450(2450)  31(31)      78.1   78.1
IFFBF58CA  13-06     2311(2471)  43(38)      64.7   53.8
JFFBF58CA  14-05     3468(3928)  48(40)      97.9   72.9
KFFBF48CA  15-01     3630(3630)  52(52)      69.4   69.4
LFFBF38CA  16-09     2360(2360)  38(38)      61.7   61.7
KFFBF28CA  15-06     2520(2520)  37(37)      69.0   69.0
IFFBF97CA  13-05     2135(2335)  42(37)      62.7   51.0
IFFBF37CA  13-06     3105(3425)  41(33)      103.5  75.4
PFFBF18CA  19-11     1860(1860)  32(32)      57.4   57.4
JFFBF97CA  14-02     3080(3450)  46(37)      92.2   67.2
JFFBF18CA  14-06     2473(2628)  46(39)      67.6   53.2
PFFBF09DA  20-07     2593(2763)  44(38)      71.8   59.3
NFFBF97DA  18-09     2570(2770)  41(37)      74.2   62.2
KFFBF18CA  15-06     2288(2288)  40(40)      56.6   56.6
PFFBF38CA  19-10     2925(3255)  44(37)      88.8   66.6
JFFBF28CA  14-05     2390(2555)  46(38)      66.5   52.1
MFFBF28CA  17-09     1986(1986)  34(34)      58.1   58.1
OFFBF48CA  19-10     2015(2015)  37(37)      54.7   54.7
KFFBF28CA  15-02     3376(3596)  46(42)      85.1   73.6
MFFBF58CA  17-03     2150(2150)  36(36)      60.3   60.3
IFFBF58CA  13-07     2298(2298)  46(46)      50.4   50.4
JFFBF38CA  13-12     2325(2325)  44(44)      52.6   52.6
MFFBF98CA  17-05     2740(2945)  40(39)      76.0   68.5
PFFBF86EA  20-05     2960(3360)  40(33)      101.6  74.7
JFFBF88CA  14-07     2990(2990)  50(50)      60.1   60.1
PFFBF98CA  19-11     3200(3620)  43(39)      93.7   74.5
IFFBF18CA  13-09     2720(2910)  40(35)      82.6   68.8
KFFBF28CA  14-11     2575(2895)  48(38)      76.0   54.2
MFFBF58CA  17-09     2300(2300)  45(45)      51.4   51.4
IFFBF88CA  13-05     3100(3320)  51(40)      82.9   61.3
JFFBF77CA  13-11     2465(2465)  40(40)      61.5   61.5
JFFBF97CA  14-02     3280(3500)  49(44)      79.7   67.2
IFFBF47CA  13-04     2430(2730)  42(32)      85.3   57.2
JFFBF08CA  14-02     3200(3790)  48(36)      104.7  67.2
IFFBF18CA  13-05     2249(2420)  43(40)      60.8   52.4
IFFBF48CA  13-08     2440(2630)  43(40)      65.6   56.6
OFFBF68DA  19-11     2800(3260)  43(38)      85.9   65.2
PFFBF66EA  20-07     2876(3256)  39(33)      97.8   73.7
IFFBF97CA  12-12     1900(1900)  33(33)      57.4   57.4
LFFBF18CA  16-10     2345(2345)  38(38)      61.6   61.6
HFFBF87CA  12-11     2900(3200)  44(36)      87.7   65.9
OFFBF09CA  19-03     2320(2470)  42(37)      65.9   55.6
JFFBF18CA  13-12     2300(2300)  36(36)      63.6   63.6
PFFBF78CA  19-11     2276(2426)  41(37)      65.9   55.6
PFFBF86CA  20-05     2695(2930)  42(38)      77.6   64.2
IFFBF97CA  13-05     2020(2020)  37(37)      53.9   53.9
JFFBF08CA  14-02     2534(2724)  43(38)      71.5   59.1
PFFBF98DA  20-07     2440(2800)  38(33)      83.9   64.3
JFFBF18CA  14-02     2740(2930)  48(42)      69.9   57.4
PFFBF56DA  20-06     2330(2730)  35(31)      87.5   65.7
NFFBF18CA  17-11     2608(2828)  34(32)      88.1   75.8
PFFBF86EA  20-08     3020(3400)  45(37)      91.4   66.8
IFFBF58CA  13-06     2239(2406)  43(40)      60.8   52.4
IFFBF98CA  13-08     2434(2750)  40(36)      77.2   60.8
IFFBF48CA  13-10     2783(3203)  43(40)      80.0   64.9
JFFBF98CA  14-06     2300(2450)  44(37)      66.3   51.9
JFFBF88CA  14-02     2523(2723)  38(35)      78.0   66.3
OFFBF07CA  19-04     2560(2960)  38(34)      85.8   66.6
IFFBF28CA  13-02     2256(2656)  43(39)      68.0   52.4
NFFBF58CA  18-02     2605(2605)  38(38)      68.2   68.2
HFFBF97CA  12-10     3130(3130)  49(49)      64.0   64.0
PFFBF17DA  20-04     2250(2450)  38(35)      70.7   59.9
OFFBF17CA  19-06     2732(2922)  41(38)      77.7   66.6
PFFBF86EA  20-06     1998(1998)  39(39)      51.2   51.2
HFFBF08CA  12-10     3090(3090)  48(48)      64.0   64.0
JFFBF38CA  13-08     2428(2428)  39(39)      61.6   61.6
LFFBF17CA  15-11     3338(3538)  45(40)      89.1   74.7
NFFBF47CA  18-08     2100(2100)  35(35)      59.4   59.4
LFFBF37CA  16-06     2900(2900)  46(46)      62.8   62.8
PFFBF08CA  20-03     1750(1750)  33(33)      52.5   52.5
IFFBF57CA  13-06     2600(2600)  40(40)      65.5   65.5
LFFBF37CA  15-12     2379(2379)  39(39)      61.2   61.2
OFFBF77DA  19-09     2815(3215)  37(31)      103.5  75.4
MFFBF67DA  16-12     2180(2380)  43(38)      62.4   51.1
JFFBF57CA  14-04     3330(3750)  46(38)      97.9   72.9
KFFBF97CA  15-07     3270(3690)  48(40)      92.5   68.0
KFFBF67CA  15-02     3400(3770)  49(41)      91.1   69.2
PFFBF58EA  20-06     1910(1910)  38(38)      50.3   50.3
JFFBF97CA  14-07     2286(2466)  45(42)      59.4   50.4
KFFBF47CA  14-12     2600(2600)  48(48)      54.5   54.5
NFFBF08CA  18-03     1972(1972)  37(37)      53.7   53.7
LFFBF08CA  16-04     2781(3131)  41(37)      83.6   68.5
LFFBF08CA  16-04     2100(2280)  38(34)      67.5   54.9
JFFBF08CA  14-06     2730(2930)  46(43)      67.8   58.9
HFFBF57CA  12-11     2160(2330)  42(37)      62.7   51.0
MFFBF18DA  17-02     2046(2426)  37(32)      75.4   55.7
MFFBF97CA  17-01     2399(2399)  34(34)      70.7   70.7
KFFBF77CA  14-09     3100(3460)  45(38)      91.4   69.4
NFFBF68CA  18-06     2400(2400)  39(39)      61.5   61.5
IFFBF28CA  13-07     2932(2932)  47(47)      62.9   62.9
